2026-03-18 22:15:55,400 | convert | DEBUG | [2026-03-18 22:15:55] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x000001FD3F1F1010>, 100.0, 'RUB')
2026-03-18 22:15:55,400 | convert | DEBUG | [2026-03-18 22:15:55] [SUCCESS] Результат: 8227.0
2026-03-18 22:16:16,015 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 22:16:17,690 | convert | DEBUG | [2026-03-18 22:16:16] [SUCCESS] Результат: RUB
2026-03-18 22:16:17,690 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 22:16:19,111 | convert | DEBUG | [2026-03-18 22:16:17] [SUCCESS] Результат: 100.0
2026-03-18 22:16:19,738 | convert | INFO | [START] Конвертируем called args=(<converters.usd_converter.UsdConverter object at 0x000001E9E8471010>, 100.0, 'RUB') kwargs={}
2026-03-18 22:16:19,738 | convert | DEBUG | [2026-03-18 22:16:19] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x000001E9E8471010>, 100.0, 'RUB')
2026-03-18 22:16:19,738 | convert | DEBUG | [2026-03-18 22:16:19] [SUCCESS] Результат: 8227.0
2026-03-18 22:19:55,644 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 22:19:57,468 | convert | DEBUG | [2026-03-18 22:19:55] [SUCCESS] Результат: RUB
2026-03-18 22:19:57,468 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 22:19:58,563 | convert | DEBUG | [2026-03-18 22:19:57] [SUCCESS] Результат: 100.0
2026-03-18 22:19:59,183 | convert | INFO | [START] Конвертируем called args=(<converters.usd_converter.UsdConverter object at 0x000001F3D22F1010>, 100.0, 'RUB') kwargs={}
2026-03-18 22:19:59,183 | convert | DEBUG | [2026-03-18 22:19:59] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x000001F3D22F1010>, 100.0, 'RUB')
2026-03-18 22:19:59,183 | convert | DEBUG | [2026-03-18 22:19:59] [SUCCESS] Результат: 8227.0
2026-03-18 22:20:43,102 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 22:20:46,379 | convert | DEBUG | [2026-03-18 22:20:43] [SUCCESS] Результат: GBP
2026-03-18 22:20:46,379 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 22:20:47,494 | convert | DEBUG | [2026-03-18 22:20:46] [SUCCESS] Результат: 100.0
2026-03-18 22:20:48,064 | convert | INFO | [START] Конвертируем called args=(<converters.usd_converter.UsdConverter object at 0x0000024D8F111010>, 100.0, 'GBP') kwargs={}
2026-03-18 22:20:48,064 | convert | DEBUG | [2026-03-18 22:20:48] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x0000024D8F111010>, 100.0, 'GBP')
2026-03-18 22:20:48,064 | convert | DEBUG | [2026-03-18 22:20:48] [SUCCESS] Результат: 74.9
2026-03-18 22:21:09,264 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 22:21:12,410 | convert | DEBUG | [2026-03-18 22:21:09] [SUCCESS] Результат: RUB
2026-03-18 22:21:12,410 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 22:21:13,276 | convert | DEBUG | [2026-03-18 22:21:12] [SUCCESS] Результат: 300.0
2026-03-18 22:21:13,276 | convert | INFO | [START] Конвертируем called args=(<converters.usd_converter.UsdConverter object at 0x000001838C361010>, 300.0, 'RUB') kwargs={}
2026-03-18 22:21:13,276 | convert | DEBUG | [2026-03-18 22:21:13] [INPUT] Параметры: (<converters.usd_converter.UsdConverter object at 0x000001838C361010>, 300.0, 'RUB')
2026-03-18 22:21:13,276 | convert | DEBUG | [2026-03-18 22:21:13] [SUCCESS] Результат: 24681.0
2026-03-18 22:26:42,886 | convert | INFO | [START] Ввод вид валюты called args=() kwargs={}
2026-03-18 22:26:44,762 | convert | DEBUG | [2026-03-18 22:26:42] [SUCCESS] Результат: RUB
2026-03-18 22:26:44,762 | convert | INFO | [START] Ввод кол-во валюты called args=() kwargs={}
2026-03-18 22:26:45,926 | convert | DEBUG | [2026-03-18 22:26:44] [SUCCESS] Результат: 100.0
